dist_id,state,schlev,agchrt,district,total_enroll_fy20,current_sped_exp_fy20,total_enroll_fy21,current_sped_exp_fy21,total_enroll_fy22,current_sped_exp_fy22,total_enroll_fy23,current_sped_exp_fy23,state_rev_v92_adjusted_fy20,federal_rev_v92_adjusted_fy20,local_rev_v92_adjusted_fy20,state_local_federal_rev_v92_adjusted_fy20,state_sped_rev_fy20,federal_sped_rev_fy20,state_fed_sped_rev_fy20,state_rev_v92_adjusted_fy21,federal_rev_v92_adjusted_fy21,local_rev_v92_adjusted_fy21,state_local_federal_rev_v92_adjusted_fy21,state_sped_rev_fy21,federal_sped_rev_fy21,state_fed_sped_rev_fy21,state_rev_v92_adjusted_fy22,federal_rev_v92_adjusted_fy22,local_rev_v92_adjusted_fy22,state_local_federal_rev_v92_adjusted_fy22,state_sped_rev_fy22,federal_sped_rev_fy22,state_fed_sped_rev_fy22,state_rev_v92_adjusted_fy23,federal_rev_v92_adjusted_fy23,local_rev_v92_adjusted_fy23,state_local_federal_rev_v92_adjusted_fy23,state_sped_rev_fy23,federal_sped_rev_fy23,state_fed_sped_rev_fy23,sped_enroll_fy20,sped_enroll_fy21,sped_enroll_fy22,sped_enroll_fy23
0633150,California,3,3,Riverside Unified,40156,84570000,39395,100695000,39584,106694000,39380,118743000,383889000,41837000,153399000,579125000,22906000,8393000,31299000,408556000,86399000,161398000,656353000,26421000,8442000,34863000,451038000,79835000,168846000,699719000,29952000,8651000,38603000,600074000,85748000,220612000,906434000,37127000,10375000,47502000,4932,4700,4814,4954
0633240,California,1,3,Robla Elementary,2066,3784000,1953,4001000,1950,4306000,1903,5075000,21080000,4140000,13745000,38965000,0,429000,429000,20872000,7808000,15013000,43693000,0,353000,353000,27848000,8101000,15065000,51014000,0,473000,473000,35222000,7617000,15750000,58589000,287000,470000,757000,226,201,232,263
0633390,California,1,3,Romoland Elementary,4205,6980000,4060,8494000,4290,8947000,4539,11090000,41333000,4182000,12171000,57686000,0,881000,881000,42862000,8567000,17291000,68720000,0,781000,781000,46478000,8292000,20238000,75008000,0,785000,785000,64526000,10028000,34740000,109294000,302000,1160000,1462000,547,520,563,622
0633480,California,1,3,Rosedale Union Elementary,5923,8134000,5762,8763000,5898,10060000,6041,11075000,45377000,2475000,31953000,79805000,0,1099000,1099000,47206000,6336000,19503000,73045000,156000,1135000,1291000,48723000,7412000,22834000,78969000,0,1454000,1454000,68923000,7657000,28162000,104742000,882000,2446000,3328000,712,639,668,711
0633510,California,1,3,Roseland,1407,3235000,1433,4148000,1466,4673000,1467,5336000,14753000,2202000,20161000,37116000,0,516000,516000,15274000,3804000,20323000,39401000,0,541000,541000,18913000,3376000,23067000,45356000,0,575000,575000,27284000,4833000,25547000,57664000,165000,918000,1083000,368,342,321,331
0633570,California,1,3,Rosemead Elementary,2394,3379000,2341,4877000,2302,6540000,2334,7504000,25539000,4167000,11065000,40771000,0,494000,494000,25584000,6833000,10854000,43271000,0,408000,408000,29503000,7314000,13378000,50195000,0,619000,619000,38321000,7349000,14734000,60404000,160000,471000,631000,328,252,257,268
0633600,California,1,3,Roseville City Elementary,11473,22077000,10992,23190000,11455,27361000,11570,33178000,66796000,7996000,72742000,147534000,0,2590000,2590000,64636000,18857000,79862000,163355000,40000,2746000,2786000,65758000,18250000,89885000,173893000,75000,2669000,2744000,94245000,15865000,94926000,205036000,1215000,3599000,4814000,1378,1324,1420,1555
0633630,California,2,3,Roseville Joint Union High,10447,13108000,10608,17517000,10571,19252000,10557,21036000,58436000,4774000,98083000,161293000,0,1524000,1524000,62816000,15606000,105348000,183770000,0,1610000,1610000,61595000,17034000,112042000,190671000,0,2079000,2079000,87314000,9685000,122863000,219862000,532000,1701000,2233000,781,889,892,812
0633750,California,3,3,Rowland Unified,13060,24817000,12731,25968000,12196,29808000,11893,33493000,145958000,16012000,51927000,213897000,7623000,3106000,10729000,149512000,36936000,53316000,239764000,8580000,1265000,9845000,156243000,38217000,56260000,250720000,9680000,4625000,14305000,209035000,33684000,70922000,313641000,11896000,3843000,15739000,1467,1351,1397,1445
0633840,California,3,2,Sacramento City Unified,41913,92460000,40431,120974000,39450,128909000,38588,146007000,421900000,81600000,188293000,691793000,23092000,10241000,33333000,433875000,145392000,191466000,770733000,26430000,8955000,35385000,410369000,149486000,206206000,766061000,29923000,10830000,40753000,595769000,138129000,244747000,978645000,37192000,12835000,50027000,5915,6166,5982,6014
