dist_id,state,schlev,agchrt,district,total_enroll_fy20,current_sped_exp_fy20,total_enroll_fy21,current_sped_exp_fy21,total_enroll_fy22,current_sped_exp_fy22,total_enroll_fy23,current_sped_exp_fy23,state_rev_v92_adjusted_fy20,federal_rev_v92_adjusted_fy20,local_rev_v92_adjusted_fy20,state_local_federal_rev_v92_adjusted_fy20,state_sped_rev_fy20,federal_sped_rev_fy20,state_fed_sped_rev_fy20,state_rev_v92_adjusted_fy21,federal_rev_v92_adjusted_fy21,local_rev_v92_adjusted_fy21,state_local_federal_rev_v92_adjusted_fy21,state_sped_rev_fy21,federal_sped_rev_fy21,state_fed_sped_rev_fy21,state_rev_v92_adjusted_fy22,federal_rev_v92_adjusted_fy22,local_rev_v92_adjusted_fy22,state_local_federal_rev_v92_adjusted_fy22,state_sped_rev_fy22,federal_sped_rev_fy22,state_fed_sped_rev_fy22,state_rev_v92_adjusted_fy23,federal_rev_v92_adjusted_fy23,local_rev_v92_adjusted_fy23,state_local_federal_rev_v92_adjusted_fy23,state_sped_rev_fy23,federal_sped_rev_fy23,state_fed_sped_rev_fy23,sped_enroll_fy20,sped_enroll_fy21,sped_enroll_fy22,sped_enroll_fy23,state_sped_rev_fy20_adjusted,federal_sped_rev_fy20_adjusted,state_fed_sped_rev_fy20_adjusted,current_sped_exp_fy20_adjusted,state_sped_rev_fy21_adjusted,federal_sped_rev_fy21_adjusted,state_fed_sped_rev_fy21_adjusted,current_sped_exp_fy21_adjusted,state_sped_rev_fy22_adjusted,federal_sped_rev_fy22_adjusted,state_fed_sped_rev_fy22_adjusted,current_sped_exp_fy22_adjusted
0507710,Arkansas,3,3,HERMITAGE SCHOOL DISTRICT,468,257000,461,289000,430,265000,442,263000,3181000,871000,1529000,5581000,353000,140000,493000,3176000,1485000,1781000,6442000,383000,164000,547000,3553000,1952000,3244000,8749000,443000,106000,549000,3384000,1803000,1875000,7062000,444000,116000,560000,50,57,57,59,411262.297,163106.86,574369.157,299417.593,436174.57100000005,186769.268,622943.839,329123.89300000004,470740.66,112637.71999999999,583378.3799999999,281594.3
0507770,Arkansas,3,3,HIGHLAND SCHOOL DISTRICT,1608,1116000,1597,1117000,1577,1364000,1612,1507000,9452000,1984000,5507000,16943000,1345000,358000,1703000,10156000,3706000,5681000,19543000,1675000,391000,2066000,10620000,7060000,6128000,23808000,1740000,426000,2166000,10434000,6131000,6479000,23044000,1769000,509000,2278000,194,232,243,245,1566990.905,417087.542,1984078.447,1300194.684,1907551.975,445285.26700000005,2352837.242,1272080.929,1848958.7999999998,452676.11999999994,2301634.92,1449413.68
0507840,Arkansas,3,3,HOPE SCHOOL DISTRICT,2408,1663000,2386,1578000,2291,1613000,2263,1826000,14680000,3966000,7653000,26299000,2074000,661000,2735000,15352000,7047000,7171000,29570000,2347000,663000,3010000,16619000,9796000,7324000,33739000,2345000,565000,2910000,16646000,10565000,9681000,36892000,2410000,672000,3082000,286,311,284,268,2416311.626,770097.389,3186409.015,1937476.487,2672850.4390000002,755048.9310000001,3427899.37,1797084.786,2491843.9,600380.2999999999,3092224.1999999997,1714006.0599999998
0507860,Arkansas,3,3,HORATIO SCHOOL DISTRICT,834,632000,783,594000,707,616000,694,629000,6119000,1139000,2057000,9315000,728000,221000,949000,6217000,1679000,2123000,10019000,781000,225000,1006000,6344000,2382000,2290000,11016000,763000,228000,991000,5850000,2497000,2548000,10895000,742000,192000,934000,95,102,99,100,848155.672,257475.829,1105631.501,736310.968,889431.697,256238.325,1145670.022,676469.1780000001,810779.0599999999,242277.36,1053056.42,654573.9199999999
0507890,Arkansas,3,2,HOT SPRINGS SCHOOL DISTRICT,3708,4576000,3720,4572000,3754,4507000,3690,4933000,15277000,5548000,27247000,48072000,3916000,1064000,4980000,16830000,11701000,28509000,57040000,3952000,1026000,4978000,17931000,18378000,28864000,65173000,4007000,855000,4862000,18092000,14207000,31929000,64228000,4173000,1097000,5270000,623,636,619,608,4562331.884,1239612.136,5801944.02,5331264.224,4500683.824,1168446.762,5669130.586,5206762.764,4257918.34,908540.0999999999,5166458.4399999995,4789228.34
0507920,Arkansas,3,3,JESSIEVILLE SCHOOL DISTRICT,873,631000,845,614000,859,664000,846,699000,4022000,1471000,5481000,10974000,805000,218000,1023000,4099000,3106000,5699000,12904000,816000,247000,1063000,4297000,3767000,5575000,13639000,799000,188000,987000,4495000,3113000,8045000,15653000,813000,160000,973000,104,97,104,101,937864.445,253980.682,1191845.127,735145.919,929290.9920000001,281292.739,1210583.7310000001,699245.9180000001,849033.3799999999,199772.55999999997,1048805.94,705579.6799999999
0507990,Arkansas,3,3,HOXIE SCHOOL DISTRICT,859,549000,877,497000,846,472000,868,453000,5581000,1267000,2314000,9162000,715000,253000,968000,5616000,2076000,2178000,9870000,724000,246000,970000,5949000,2802000,2375000,11126000,739000,202000,941000,6035000,2247000,3553000,11835000,741000,224000,965000,131,127,127,131,833010.035,294757.397,1127767.432,639611.901,824517.9880000001,280153.902,1104671.8900000001,566001.9890000001,785276.1799999999,214649.24,999925.4199999999,501556.63999999996
0508040,Arkansas,3,2,WEST MEMPHIS SCHOOL DISTRICT,5304,4216000,5150,4434000,5035,3714000,4954,3888000,36074000,9117000,11865000,57056000,4670000,1535000,6205000,36089000,20747000,14529000,71365000,4744000,1638000,6382000,37489000,22178000,14550000,74217000,4978000,1295000,6273000,37188000,22805000,15420000,75413000,4815000,1803000,6618000,612,581,534,514,5440778.83,1788350.215,7229129.045,4911846.584,5402642.728,1865415.006,7268057.734,5049603.258,5289722.359999999,1376092.9,6665815.26,3946570.6799999997
0508130,Arkansas,3,3,HUNTSVILLE SCHOOL DISTRICT,2304,1908000,2246,2062000,2297,2316000,2339,2126000,13512000,2889000,7339000,23740000,1022000,526000,1548000,13765000,4173000,8116000,26054000,1118000,531000,1649000,14532000,6906000,8330000,29768000,1069000,504000,1573000,14907000,7301000,9251000,31459000,1073000,511000,1584000,310,307,346,436,1190680.078,612815.774,1803495.852,2222913.492,1273219.766,604722.447,1877942.2130000002,2348281.8940000003,1135940.7799999998,535560.48,1671501.2599999998,2461027.92
0508240,Arkansas,3,3,JASPER SCHOOL DISTRICT,891,796000,803,765000,850,747000,888,865000,7015000,1809000,2991000,11815000,700000,230000,930000,7102000,2207000,3174000,12483000,764000,250000,1014000,7026000,3592000,3391000,14009000,676000,215000,891000,7221000,5325000,3316000,15862000,682000,231000,913000,119,103,117,123,815534.3,267961.27,1083495.57,927379.004,870071.4680000001,284709.25,1154780.718,871210.305,718331.1199999999,228463.3,946794.4199999999,793777.1399999999
