dist_id,state,district,total_enroll,tcurelsc,current_sped_exp,state_sped_rev,federal_sped_rev,state_fed_sped_rev,state_rev_v92_adjusted,federal_rev_v92_adjusted,sped_enroll,sped_exp_pp,state_sped_rev_pp,federal_sped_rev_pp,state_fed_sped_rev_pp,sped_local_pp_obligation,state_sped_pct,federal_sped_pct,local_sped_pct,state_rev_no_sped,federal_rev_no_sped,current_exp_no_sped,state_no_sped_pct,federal_no_sped_pct,local_no_sped_pct,disproportionate,fy,cpi_multiplier,tcurelsc_adjusted,current_sped_exp_adjusted,state_sped_rev_adjusted,federal_sped_rev_adjusted,state_fed_sped_rev_adjusted,state_rev_v92_adjusted_real,federal_rev_v92_adjusted_real,sped_exp_pp_adjusted,state_sped_rev_pp_adjusted,federal_sped_rev_pp_adjusted,state_fed_sped_rev_pp_adjusted,sped_local_pp_obligation_adjusted
0100210,Alabama,Auburn City,8930,89479000,9632000,0,1513000,1513000,51909000,5413000,989,9739.130434782608,0,1529.8281092012132,1529.8281092012132,8209.302325581395,0,0.15708056478405316,0.8429194352159468,51909000,3900000,79847000,0.6501058273948928,0.04884341302741493,0.30105075957769234,TRUE,fy20,1.1650487890214984,104247400.59285466,11221749.935855074,0,1762718.8177895271,1762718.8177895271,60476517.589316964,6306409.094973371,11346.5621191659,0,1782.3243860359223,1782.3243860359223,9564.237733129978
0100240,Alabama,Autauga County,9120,79114000,7929000,0,1981000,1981000,59070000,8903000,1067,7431.115276476101,0,1856.6073102155576,1856.6073102155576,5574.507966260543,0,0.2498423508639173,0.7501576491360827,59070000,6922000,71185000,0.8298096509096018,0.0972395869916415,0.07295076209875671,TRUE,fy20,1.1650487890214984,92171669.89464682,9237671.84815146,0,2307961.6510515884,2307961.6510515884,68819431.96749991,10372429.368658401,8657.611853937638,0,2163.038098455097,2163.038098455097,6494.573755482541
0100270,Alabama,Baldwin County,30602,327491000,35483000,0,6295000,6295000,169918000,30065000,4670,7598.072805139186,0,1347.96573875803,1347.96573875803,6250.107066381156,0,0.17740890003663726,0.8225910999633628,169918000,23770000,292008000,0.5818950165748884,0.08140187940056437,0.33670310402454723,TRUE,fy20,1.1650487890214984,381542992.96543956,41339426.18084983,0,7333982.126890332,7333982.126890332,197962760.13295498,35027191.84193135,8852.125520524589,0,1570.4458515825122,1570.4458515825122,7281.679668942077
0100300,Alabama,Barbour County,703,9091000,800000,0,286000,286000,5382000,1893000,87,9195.402298850577,0,3287.3563218390805,3287.3563218390805,5908.045977011494,0,0.3575,0.6425000000000001,5382000,1607000,8291000,0.6491376191050536,0.1938246291159088,0.15703775177903756,TRUE,fy20,1.1650487890214984,10591458.540994443,932039.0312171987,0,333203.95366014855,333203.95366014855,6270292.582513705,2205437.3576176967,10713.092312841365,0,3829.9305018407877,3829.9305018407877,6883.1618110005775
0100330,Alabama,Bessemer City,3524,38326000,2728000,0,888000,888000,21998000,7705000,410,6653.658536585366,0,2165.8536585365855,2165.8536585365855,4487.804878048781,0,0.3255131964809384,0.6744868035190617,21998000,6817000,35598000,0.6179560649474689,0.19149952244508117,0.19054441260744992,TRUE,fy20,1.1650487890214984,44651659.88803795,3178253.096450648,0,1034563.3246510907,1034563.3246510907,25628743.260894924,8976700.919410646,7751.836820611336,0,2523.325182075831,2523.325182075831,5228.511638535505
0100360,Alabama,Bibb County,3243,33089000,3274000,0,893000,893000,24028000,4996000,458,7148.471615720524,0,1949.7816593886464,1949.7816593886464,5198.6899563318775,0,0.2727550397067807,0.7272449602932193,24028000,4103000,29815000,0.8059030689250377,0.13761529431494215,0.05648163676002013,TRUE,fy20,1.1650487890214984,38550299.37993236,3814369.735256386,0,1040388.5685961981,1040388.5685961981,27993792.302608564,5820583.749951406,8328.31819924975,0,2271.59076112707,2271.59076112707,6056.72743812268
0100390,Alabama,Birmingham City,22726,270547000,22769000,0,5122000,5122000,138469000,48147000,2814,8091.32906894101,0,1820.184790334044,1820.184790334044,6271.144278606966,0,0.2249549826518512,0.7750450173481488,138469000,43025000,247778000,0.5588429965533663,0.1736433420239085,0.26751366142272515,TRUE,fy20,1.1650487890214984,315200454.72339934,26526995.8772305,0,5967379.897368115,5967379.897368115,161323140.76701787,56093604.045018084,9426.793133344172,0,2120.604085774028,2120.604085774028,7306.189047570144
0100420,Alabama,Blount County,7653,69979000,6274000,0,1695000,1695000,53544000,7261000,991,6330.9788092835515,0,1710.393541876892,1710.393541876892,4620.585267406659,0,0.2701625757092764,0.7298374242907236,53544000,5566000,63705000,0.8404991758888627,0.08737147790597284,0.07212934620516447,TRUE,fy20,1.1650487890214984,81528949.20693544,7309516.102320882,0,1974757.69739144,1974757.69739144,62381372.35936711,8459419.2570851,7375.89919507657,0,1992.6919247138646,1992.6919247138646,5383.2072703627055
0100450,Alabama,Brewton City,1163,12226000,710000,0,261000,261000,7751000,1424000,132,5378.787878787879,0,1977.2727272727273,1977.2727272727273,3401.515151515152,0,0.3676056338028169,0.6323943661971831,7751000,1163000,11516000,0.6730635637374088,0.10098992705800625,0.22594650920458492,TRUE,fy20,1.1650487890214984,14243886.49457684,827184.6402052639,0,304077.7339346111,304077.7339346111,9030293.163705634,1659029.4755666137,6266.550304585332,0,2303.6191964743266,2303.6191964743266,3962.9311081110054
0100480,Alabama,Bullock County,1459,15129000,1493000,0,424000,424000,10610000,2782000,151,9887.417218543049,0,2807.9470198675494,2807.9470198675494,7079.470198675497,0,0.2839919624916276,0.7160080375083724,10610000,2358000,13636000,0.7780874156644177,0.1729246113229686,0.04898797301261365,TRUE,fy20,1.1650487890214984,17626023.12910625,1739417.842009097,0,493980.6865451153,493980.6865451153,12361167.651518099,3241165.7310578087,11519.323457013888,0,3271.395275133214,3271.395275133214,8247.928181880674
