dist_id,state,district,total_enroll,tcurelsc,current_sped_exp,state_sped_rev,federal_sped_rev,state_fed_sped_rev,state_rev_v92_adjusted,federal_rev_v92_adjusted,sped_enroll,sped_exp_pp,state_sped_rev_pp,federal_sped_rev_pp,state_fed_sped_rev_pp,sped_local_pp_obligation,state_sped_pct,federal_sped_pct,local_sped_pct,state_rev_no_sped,federal_rev_no_sped,current_exp_no_sped,state_no_sped_pct,federal_no_sped_pct,local_no_sped_pct,disproportionate,fy
0100690,Alabama,Choctaw County,1242,14994000,1307000,0,414000,414000,8084000,3021000,161,8118.012422360249,0,2571.4285714285716,2571.4285714285716,5546.583850931677,0,0.31675592960979343,0.6832440703902065,8084000,2607000,13687000,0.5906334477971799,0.1904727113319208,0.21889384087089933,TRUE,fy20
0100720,Alabama,Clarke County,2362,25382000,2213000,0,698000,698000,17317000,4254000,290,7631.0344827586205,0,2406.896551724138,2406.896551724138,5224.137931034482,0,0.315408947130592,0.684591052869408,17317000,3556000,23169000,0.7474211230523544,0.15348094436531573,0.09909793258232985,TRUE,fy20
0100750,Alabama,Clay County,1840,17847000,2012000,13000,489000,502000,13427000,2181000,222,9063.063063063064,58.55855855855856,2202.7027027027025,2261.261261261261,6801.801801801803,0.0064612326043737576,0.2430417495029821,0.7504970178926441,13414000,1692000,15835000,0.8471108304389011,0.10685191032522892,0.04603725923586996,TRUE,fy20
0100780,Alabama,Cleburne County,2539,23694000,1930000,0,702000,702000,18192000,3101000,291,6632.302405498282,0,2412.3711340206187,2412.3711340206187,4219.931271477662,0,0.36373056994818653,0.6362694300518135,18192000,2399000,21764000,0.8358757581326962,0.11022789928322,0.053896342584083795,TRUE,fy20
0100810,Alabama,Coffee County,2467,23240000,2189000,0,482000,482000,17130000,2676000,273,8018.315018315018,0,1765.5677655677655,1765.5677655677655,6252.747252747253,0,0.22019186843307445,0.7798081315669255,17130000,2194000,21051000,0.8137380647000142,0.10422307728848985,0.08203885801149595,TRUE,fy20
0100840,Alabama,Colbert County,2720,32020000,3436000,0,750000,750000,16777000,4375000,456,7535.087719298245,0,1644.7368421052631,1644.7368421052631,5890.350877192982,0,0.21827706635622818,0.7817229336437719,16777000,3625000,28584000,0.5869367478309544,0.12681919955219703,0.2862440526168486,TRUE,fy20
0100870,Alabama,Conecuh County,1955,19321000,1388000,0,379000,379000,14154000,3023000,181,7668.508287292818,0,2093.9226519337017,2093.9226519337017,5574.585635359116,0,0.2730547550432277,0.7269452449567724,14154000,2644000,17933000,0.7892711760441644,0.14743768471532928,0.0632911392405063,TRUE,fy20
0100900,Alabama,Coosa County,794,9296000,904000,122000,283000,405000,5550000,1555000,124,7290.322580645161,983.8709677419355,2282.2580645161293,3266.1290322580644,4024.1935483870966,0.13495575221238937,0.31305309734513276,0.5519911504424778,5428000,1272000,8392000,0.6468064823641564,0.1515729265967588,0.2016205910390848,TRUE,fy20
0100930,Alabama,Covington County,3056,29496000,2672000,0,771000,771000,21687000,3479000,462,5783.549783549784,0,1668.8311688311687,1668.8311688311687,4114.718614718615,0,0.28854790419161674,0.7114520958083832,21687000,2708000,26824000,0.8084923948702655,0.10095436922159261,0.09055323590814192,TRUE,fy20
0100960,Alabama,Crenshaw County,2249,20927000,2010000,0,528000,528000,15116000,3658000,330,6090.909090909091,0,1600,1600,4490.909090909091,0,0.2626865671641791,0.7373134328358208,15116000,3130000,18917000,0.7990696199185917,0.16545963947771847,0.03547074060368982,TRUE,fy20
0100990,Alabama,Cullman City,3157,32973000,2463000,0,685000,685000,17975000,4573000,343,7180.758017492712,0,1997.0845481049562,1997.0845481049562,5183.673469387755,0,0.2781161185546082,0.7218838814453918,17975000,3888000,30510000,0.5891510980006556,0.12743362831858407,0.28341527368076036,TRUE,fy20
0101020,Alabama,Cullman County,9349,95341000,9515000,0,2062000,2062000,64460000,13160000,1501,6339.107261825449,0,1373.750832778148,1373.750832778148,4965.356429047301,0,0.21671045717288492,0.783289542827115,64460000,11098000,85826000,0.7510544590217416,0.12930813506396663,0.11963740591429176,TRUE,fy20
0101050,Alabama,Dale County,3259,31231000,2007000,0,745000,745000,24004000,3506000,273,7351.648351648351,0,2728.937728937729,2728.937728937729,4622.710622710622,0,0.37120079720976584,0.6287992027902342,24004000,2761000,29224000,0.8213796879277306,0.09447714207500685,0.08414316999726251,TRUE,fy20
0101080,Alabama,Daleville City,1142,10703000,1177000,0,314000,314000,7599000,1891000,139,8467.625899280576,0,2258.9928057553957,2258.9928057553957,6208.633093525181,0,0.26677994902293967,0.7332200509770603,7599000,1577000,9526000,0.7977115263489397,0.16554692420743228,0.03674154944362801,TRUE,fy20
0101110,Alabama,Dallas County,2880,36493000,3481000,0,995000,995000,24012000,7292000,446,7804.932735426009,0,2230.9417040358744,2230.9417040358744,5573.991031390135,0,0.28583740304510197,0.714162596954898,24012000,6297000,33012000,0.7273718647764449,0.19074881861141404,0.08187931661214107,TRUE,fy20
0101140,Alabama,DeKalb County,8973,87397000,6760000,0,2121000,2121000,62441000,12216000,1053,6419.753086419753,0,2014.2450142450143,2014.2450142450143,4405.508072174739,0,0.31375739644970413,0.6862426035502959,62441000,10095000,80637000,0.7743467638925059,0.12519066929573272,0.10046256681176138,TRUE,fy20
0101170,Alabama,Decatur City,8842,104653000,11688000,0,2101000,2101000,54152000,11507000,1212,9643.564356435643,0,1733.4983498349834,1733.4983498349834,7910.06600660066,0,0.17975701574264202,0.820242984257358,54152000,9406000,92965000,0.5824987898671543,0.10117786263647609,0.3163233474963696,TRUE,fy20
0101200,Alabama,Demopolis City,2236,20212000,1688000,0,417000,417000,14489000,2348000,146,11561.643835616438,0,2856.1643835616437,2856.1643835616437,8705.479452054795,0,0.24703791469194314,0.7529620853080569,14489000,1931000,18524000,0.7821744763549989,0.10424314402936731,0.11358237961563376,TRUE,fy20
0101230,Alabama,Dothan City,8701,96127000,9256000,0,2273000,2273000,56056000,13804000,1324,6990.936555891239,0,1716.7673716012084,1716.7673716012084,5274.16918429003,0,0.24557044079515988,0.7544295592048401,56056000,11531000,86871000,0.6452786315341138,0.132737046885612,0.2219843215802742,TRUE,fy20
0101260,Alabama,Elba City,624,7022000,737000,100000,189000,289000,4636000,977000,76,9697.368421052632,1315.7894736842106,2486.842105263158,3802.6315789473683,5894.736842105263,0.13568521031207598,0.2564450474898236,0.6078697421981003,4536000,788000,6285000,0.7217183770883054,0.12537788385043755,0.152903739061257,TRUE,fy20
0101290,Alabama,Elmore County,11557,99548000,13257000,0,2304000,2304000,72392000,20377000,1540,8608.441558441558,0,1496.1038961038962,1496.1038961038962,7112.337662337663,0,0.17379497623896809,0.8262050237610319,72392000,18073000,86291000,0.8389287411201631,0.20944246792828916,-0.048371209048452296,TRUE,fy20
0101320,Alabama,Enterprise City,6839,62928000,5002000,0,1599000,1599000,44102000,7459000,589,8492.359932088286,0,2714.7707979626484,2714.7707979626484,5777.589134125637,0,0.319672131147541,0.680327868852459,44102000,5860000,57926000,0.7613506888098609,0.1011635534992922,0.13748575769084692,TRUE,fy20
0101350,Alabama,Escambia County,4176,45287000,3580000,0,1107000,1107000,28938000,6488000,543,6593.001841620626,0,2038.6740331491712,2038.6740331491712,4554.327808471455,0,0.30921787709497206,0.6907821229050279,28938000,5381000,41707000,0.6938403625290719,0.12901910950200207,0.17714052796892604,TRUE,fy20
0101380,Alabama,Etowah County,8614,81055000,7217000,0,2062000,2062000,59226000,9792000,1059,6814.919735599622,0,1947.119924457035,1947.119924457035,4867.799811142587,0,0.2857142857142857,0.7142857142857143,59226000,7730000,73838000,0.8021073160161435,0.1046886427042986,0.0932040412795579,TRUE,fy20
