dist_id,state,district,state_rev_v92_adjusted_fy20,federal_rev_v92_adjusted_fy20,local_rev_v92_adjusted_fy20,state_local_federal_rev_v92_adjusted_fy20,state_sped_rev_fy20,federal_sped_rev_fy20,state_fed_sped_rev_fy20,state_rev_v92_adjusted_fy21,federal_rev_v92_adjusted_fy21,local_rev_v92_adjusted_fy21,state_local_federal_rev_v92_adjusted_fy21,state_sped_rev_fy21,federal_sped_rev_fy21,state_fed_sped_rev_fy21,state_rev_v92_adjusted_fy22,federal_rev_v92_adjusted_fy22,local_rev_v92_adjusted_fy22,state_local_federal_rev_v92_adjusted_fy22,state_sped_rev_fy22,federal_sped_rev_fy22,state_fed_sped_rev_fy22,state_rev_v92_adjusted_fy23,federal_rev_v92_adjusted_fy23,local_rev_v92_adjusted_fy23,state_local_federal_rev_v92_adjusted_fy23,state_sped_rev_fy23,federal_sped_rev_fy23,state_fed_sped_rev_fy23
2314610,Maine,RSU 53/MSAD 53,7716000,836000,5327000,13879000,26000,220000,246000,7902000,1980000,5488000,15370000,64000,238000,302000,7813000,1809000,5549000,15171000,31000,200000,231000,7730000,1946000,5802000,15478000,58000,366000,424000
2314670,Maine,RSU 57/MSAD 57,17602000,1895000,27457000,46954000,19000,808000,827000,18493000,7138000,27383000,53014000,43000,870000,913000,19015000,5004000,28746000,52765000,77000,1023000,1100000,18963000,3231000,29928000,52122000,34000,1049000,1083000
2314700,Maine,RSU 60/MSAD 60,24173000,1741000,21626000,47540000,0,943000,943000,24211000,6599000,21472000,52282000,0,668000,668000,24981000,4124000,21057000,50162000,0,733000,733000,25133000,4764000,22213000,52110000,0,1255000,1255000
2314761,Maine,RSU 68/MSAD 68,6943000,735000,5414000,13092000,9000,244000,253000,7330000,2082000,5361000,14773000,13000,237000,250000,7321000,2088000,5765000,15174000,36000,242000,278000,7833000,1985000,5992000,15810000,57000,253000,310000
2314762,Maine,RSU 70/MSAD 70,3633000,688000,3523000,7844000,0,141000,141000,4020000,1526000,3286000,8832000,0,138000,138000,3955000,1640000,3142000,8737000,0,184000,184000,4099000,1198000,3434000,8731000,0,180000,180000
2314765,Maine,RSU 72/MSAD 72,6955000,738000,14130000,21823000,5000,257000,262000,7445000,2054000,13755000,23254000,52000,290000,342000,8193000,1979000,13594000,23766000,76000,223000,299000,8563000,1852000,13736000,24151000,55000,543000,598000
2314767,Maine,RSU 74/MSAD 74,5057000,995000,5982000,12034000,31000,240000,271000,4937000,2180000,5866000,12983000,4000,241000,245000,5207000,2245000,5691000,13143000,72000,193000,265000,5147000,1808000,6037000,12992000,39000,285000,324000
2314768,Maine,RSU 75/MSAD 75,17959000,1550000,28386000,47895000,65000,691000,756000,22180000,5500000,27361000,55041000,36000,726000,762000,23423000,2714000,27403000,53540000,0,365000,365000,23385000,1981000,28860000,54226000,0,446000,446000
2314772,Maine,RSU 01 - LKRSU,14897000,1385000,22070000,38352000,0,478000,478000,19238000,4601000,20945000,44784000,0,526000,526000,19949000,4227000,20898000,45074000,12000,699000,711000,20259000,3616000,32928000,56803000,14000,541000,555000
2314773,Maine,RSU 21,8315000,984000,44304000,53603000,0,617000,617000,9092000,4298000,45091000,58481000,9000,848000,857000,10616000,1843000,44864000,57323000,25000,269000,294000,9309000,4090000,45091000,58490000,47000,1557000,1604000
2314775,Maine,RSU 16,12377000,1078000,11048000,24503000,44000,348000,392000,14137000,3743000,11649000,29529000,11000,253000,264000,14310000,3777000,11413000,29500000,36000,339000,375000,15236000,1979000,11877000,29092000,10000,326000,336000
2314776,Maine,RSU 02,15212000,1534000,16764000,33510000,0,456000,456000,15808000,3957000,17148000,36913000,0,639000,639000,14027000,1514000,17783000,33324000,0,80000,80000,17562000,2532000,19287000,39381000,0,699000,699000
2314777,Maine,RSU 67,5974000,1103000,6751000,13828000,22000,260000,282000,6293000,2803000,6933000,16029000,54000,266000,320000,6609000,6443000,6649000,19701000,47000,342000,389000,7032000,1098000,7014000,15144000,32000,298000,330000
2314778,Maine,RSU 26,5559000,364000,9025000,14948000,0,137000,137000,5982000,1872000,9814000,17668000,0,198000,198000,6417000,1206000,9207000,16830000,30000,236000,266000,6793000,640000,9994000,17427000,30000,197000,227000
2314779,Maine,RSU 18,16425000,2031000,24575000,43031000,606000,719000,1325000,18182000,6064000,24323000,48569000,605000,734000,1339000,18512000,5783000,25137000,49432000,384000,680000,1064000,18646000,2927000,25350000,46923000,316000,630000,946000
2314780,Maine,RSU 12,11348000,1427000,12198000,24973000,85000,696000,781000,12169000,1915000,12769000,26853000,0,377000,377000,12210000,3594000,13274000,29078000,0,495000,495000,12511000,2655000,14075000,29241000,0,543000,543000
2314782,Maine,RSU 34,11725000,1343000,11005000,24073000,20000,453000,473000,12813000,3967000,10429000,27209000,52000,435000,487000,13659000,2761000,9996000,26416000,64000,433000,497000,14363000,5164000,10075000,29602000,110000,556000,666000
2314783,Maine,RSU 04,12069000,1070000,8581000,21720000,216000,368000,584000,12773000,3832000,8366000,24971000,121000,334000,455000,12401000,4220000,8489000,25110000,177000,549000,726000,12579000,2473000,10379000,25431000,15000,428000,443000
2314784,Maine,RSU 23,2930000,823000,13324000,17077000,30000,202000,232000,3264000,1927000,13324000,18515000,9000,219000,228000,3425000,1295000,13555000,18275000,2000,223000,225000,3625000,1829000,13837000,19291000,2000,282000,284000
2314785,Maine,RSU 19,18729000,1984000,12084000,32797000,38000,563000,601000,20515000,4314000,11920000,36749000,42000,443000,485000,21521000,3978000,12248000,37747000,124000,384000,508000,21731000,5010000,12817000,39558000,36000,705000,741000
2314787,Maine,RSU 13,6366000,2160000,27137000,35663000,24000,281000,305000,8050000,4835000,26661000,39546000,0,421000,421000,9539000,4727000,27437000,41703000,0,441000,441000,9497000,1942000,28339000,39778000,2000,560000,562000
2314788,Maine,RSU 38,5034000,825000,14596000,20455000,27000,371000,398000,5776000,2618000,13999000,22393000,5000,367000,372000,6445000,2767000,13517000,22729000,4000,369000,373000,6800000,1704000,14454000,22958000,0,399000,399000
2314789,Maine,RSU 05,8331000,1002000,28200000,37533000,82000,572000,654000,9475000,896000,28095000,38466000,41000,573000,614000,9323000,2477000,28925000,40725000,32000,585000,617000,9116000,2034000,29976000,41126000,31000,732000,763000
2314790,Maine,RSU 24,3885000,1707000,13758000,19350000,0,380000,380000,4438000,3702000,13563000,21703000,0,333000,333000,5116000,3314000,13880000,22310000,0,394000,394000,7527000,3528000,14519000,25574000,0,375000,375000
2314791,Maine,RSU 20,4116000,394000,6003000,10513000,0,5000,5000,4364000,156000,5400000,9920000,0,24000,24000,3997000,453000,5642000,10092000,82000,13000,95000,4061000,417000,5765000,10243000,48000,72000,120000
2314793,Maine,RSU 14,18054000,1790000,33716000,53560000,36000,845000,881000,19944000,6782000,34330000,61056000,26000,820000,846000,22062000,5488000,33687000,61237000,91000,981000,1072000,21210000,3387000,36456000,61053000,84000,931000,1015000
2314794,Maine,RSU 39,14024000,1229000,6721000,21974000,88000,314000,402000,14748000,3714000,6398000,24860000,104000,279000,383000,14963000,3193000,7074000,25230000,57000,440000,497000,15575000,2765000,6474000,24814000,20000,361000,381000
2314795,Maine,RSU 10,14832000,3234000,14615000,32681000,0,635000,635000,16407000,8646000,14267000,39320000,0,675000,675000,18291000,10732000,13977000,43000000,115000,763000,878000,18351000,5285000,14588000,38224000,259000,837000,1096000
2314796,Maine,RSU 25,7603000,1101000,9242000,17946000,92000,199000,291000,8318000,2053000,8836000,19207000,0,317000,317000,8796000,2372000,8968000,20136000,0,347000,347000,9390000,2014000,9979000,21383000,0,73000,73000
2314803,Maine,RSU 78,451000,299000,4327000,5077000,0,52000,52000,611000,533000,4263000,5407000,0,57000,57000,612000,425000,4802000,5839000,0,78000,78000,645000,438000,4867000,5950000,0,71000,71000
2314805,Maine,RSU 73,10007000,1228000,10575000,21810000,76000,192000,268000,10868000,3284000,10605000,24757000,0,273000,273000,11719000,2176000,10586000,24481000,43000,57000,100000,13870000,3083000,9422000,26375000,30000,268000,298000
2314806,Maine,RSU 50,2821000,546000,2667000,6034000,1000,104000,105000,3104000,712000,2575000,6391000,8000,107000,115000,3011000,674000,2612000,6297000,14000,141000,155000,3126000,495000,2724000,6345000,6000,137000,143000
2314809,Maine,RSU 09,24391000,2156000,14154000,40701000,0,528000,528000,24916000,6746000,13822000,45484000,8000,570000,578000,26745000,2361000,14741000,43847000,0,97000,97000,26909000,5832000,15921000,48662000,0,727000,727000
2314814,Maine,Cherryfield Public Schools,646000,205000,1260000,2111000,0,45000,45000,737000,296000,1165000,2198000,0,40000,40000,733000,290000,1556000,2579000,0,44000,44000,745000,611000,1466000,2822000,0,63000,63000
2314815,Maine,RSU 22,21654000,1095000,13663000,36412000,107000,528000,635000,23108000,2921000,13445000,39474000,127000,439000,566000,23527000,2846000,14402000,40775000,101000,721000,822000,23329000,4552000,14459000,42340000,90000,719000,809000
2314817,Maine,Athens Public Schools,1346000,149000,1079000,2574000,0,25000,25000,1311000,460000,1067000,2838000,0,20000,20000,1226000,452000,1148000,2826000,0,75000,75000,1229000,176000,1077000,2482000,0,25000,25000
2314818,Maine,Eustis Public Schools,171000,99000,2505000,2775000,0,18000,18000,263000,377000,3059000,3699000,0,23000,23000,210000,351000,2729000,3290000,0,30000,30000,285000,147000,3191000,3623000,0,34000,34000
2314820,Maine,St George Public Schools,691000,297000,5529000,6517000,0,79000,79000,895000,528000,5343000,6766000,0,80000,80000,768000,223000,6067000,7058000,0,92000,92000,1081000,491000,5423000,6995000,17000,110000,127000
2314822,Maine,RSU 71,10991000,1110000,16500000,28601000,35000,151000,186000,12105000,2060000,16351000,30516000,102000,45000,147000,12860000,775000,16536000,30171000,5000,28000,33000,12932000,1291000,16932000,31155000,0,106000,106000
2314824,Maine,Northport Public Schools,254000,123000,3276000,3653000,0,41000,41000,363000,390000,3036000,3789000,0,45000,45000,362000,265000,3058000,3685000,0,68000,68000,338000,235000,3333000,3906000,0,49000,49000
2314833,Maine,RSU 56,6818000,920000,6529000,14267000,78000,217000,295000,7333000,2493000,6602000,16428000,32000,197000,229000,7790000,2680000,6273000,16743000,26000,303000,329000,8123000,1722000,5900000,15745000,3000,223000,226000
2314837,Maine,Sebago Public Schools,348000,115000,3224000,3687000,0,56000,56000,453000,584000,3357000,4394000,15000,61000,76000,502000,376000,3399000,4277000,2000,85000,87000,667000,141000,3546000,4354000,1000,79000,80000
2314838,Maine,RSU 89,2573000,451000,2567000,5591000,4000,92000,96000,2684000,1051000,2476000,6211000,0,95000,95000,2694000,944000,2278000,5916000,0,100000,100000,2761000,667000,2928000,6356000,5000,120000,125000
2314842,Maine,Limestone Public Schools,1469000,173000,1348000,2990000,0,64000,64000,2158000,646000,1690000,4494000,0,59000,59000,2538000,335000,1442000,4315000,0,44000,44000,2791000,238000,1610000,4639000,0,0,0
2400030,Maryland,Allegany County Public Schools,93970000,13131000,34055000,141156000,7315000,2510000,9825000,94764000,17284000,34133000,146181000,7044000,2465000,9509000,95658000,23455000,37503000,156616000,6671000,2870000,9541000,100117000,22724000,37607000,160448000,8367000,3047000,11414000
