state,district,dist_id,sped_enroll_fy20,sped_enroll_fy21,sped_enroll_fy22,sped_enroll_fy23
CALIFORNIA,Kneeland Elementary,0619980,3,5,3,-8
CALIFORNIA,Knights Ferry Elementary,0620010,11,10,8,6
CALIFORNIA,Knightsen Elementary,0620040,84,-8,-8,61
CALIFORNIA,Konocti Unified,0620070,452,476,518,533
CALIFORNIA,La Canada Unified,0620130,369,339,331,316
CALIFORNIA,La Habra City Elementary,0620190,653,550,609,630
CALIFORNIA,La Honda-Pescadero Unified,0620220,41,-8,-8,42
CALIFORNIA,La Mesa-Spring Valley,0620250,1955,1731,1840,1913
CALIFORNIA,Lafayette Elementary,0620310,388,332,350,398
CALIFORNIA,Laguna Beach Unified,0620370,328,305,281,261
CALIFORNIA,Laguna Joint Elementary,0620430,3,4,5,6
CALIFORNIA,Pacifica,0620460,322,290,306,328
CALIFORNIA,Lagunita Elementary,0620490,7,-8,7,6
CALIFORNIA,Lagunitas Elementary,0620520,29,-8,23,-8
CALIFORNIA,Lake Elementary,0620610,20,-8,-8,22
CALIFORNIA,Lake Tahoe Unified,0620640,490,468,446,441
CALIFORNIA,Lakeport Unified,0620670,162,175,-8,-8
CALIFORNIA,Lakeside Joint,0620700,14,-8,14,-8
CALIFORNIA,Lakeside Union,0620730,172,150,173,201
CALIFORNIA,Lakeside Union Elementary,0620760,30,20,21,-8
CALIFORNIA,Lakeside Union Elementary,0620790,899,819,840,853
CALIFORNIA,Lamont Elementary,0620850,237,247,238,222
CALIFORNIA,Lancaster Elementary,0620880,2126,1813,2102,2095
CALIFORNIA,Larkspur-Corte Madera,0620910,160,135,145,138
CALIFORNIA,Las Virgenes Unified,0621000,1154,1080,1108,1088
CALIFORNIA,Lassen Union High,0621060,82,78,74,82
CALIFORNIA,Lassen View Union Elementary,0621090,30,-8,-8,-8
CALIFORNIA,Laton Joint Unified,0621150,97,97,96,89
CALIFORNIA,Latrobe,0621180,20,10,15,-8
CALIFORNIA,Lawndale Elementary,0621210,642,554,570,587
CALIFORNIA,Le Grand Union Elementary,0621240,37,41,37,-8
CALIFORNIA,Le Grand Union High,0621270,57,58,44,38
CALIFORNIA,Lemon Grove,0621330,468,454,505,473
CALIFORNIA,Lemoore Union Elementary,0621360,340,304,285,300
CALIFORNIA,Lemoore Union High,0621400,275,298,299,274
CALIFORNIA,Lennox,0621420,641,552,545,536
CALIFORNIA,Richland Union Elementary,0621450,321,302,297,323
CALIFORNIA,Lewiston Elementary,0621480,9,-8,11,14
CALIFORNIA,Liberty Elementary,0621540,21,-8,-8,-8
CALIFORNIA,Liberty Elementary,0621570,30,-8,-8,43
CALIFORNIA,Liberty Union High,0621600,1138,1141,1213,1257
CALIFORNIA,Lincoln Elementary,0621660,NA,-8,NA,NA
CALIFORNIA,Lincoln Unified,0621690,1315,1180,1181,1183
CALIFORNIA,Linden Unified,0621810,294,284,287,289
CALIFORNIA,Lindsay Unified,0621870,324,353,378,399
CALIFORNIA,Linns Valley-Poso Flat Union,0621900,4,-8,4,-8
CALIFORNIA,Little Lake City Elementary,0621930,558,521,473,512
CALIFORNIA,Little Shasta Elementary,0621960,3,NA,NA,NA
CALIFORNIA,Live Oak Elementary,0621990,217,230,251,251
CALIFORNIA,Live Oak Unified,0622050,241,260,282,270
CALIFORNIA,Livermore Valley Joint Unified,0622110,1990,1946,1985,1955
CALIFORNIA,Livingston Union,0622170,229,197,208,233
CALIFORNIA,Lodi Unified,0622230,4062,3796,3870,4000
CALIFORNIA,Loleta Union Elementary,0622320,46,34,-8,41
CALIFORNIA,Loma Prieta Joint Union Elementary,0622350,66,56,-8,74
CALIFORNIA,Las Lomitas Elementary,0622380,146,155,155,152
CALIFORNIA,Lompoc Unified,0622410,1349,1271,1429,1476
CALIFORNIA,Lone Pine Unified,0622440,46,-8,40,-8
CALIFORNIA,Long Beach Unified,0622500,9417,9464,8873,8787
CALIFORNIA,Loomis Union Elementary,0622560,249,247,259,288
CALIFORNIA,Los Alamitos Unified,0622590,988,934,997,1016
CALIFORNIA,Los Altos Elementary,0622650,380,326,318,328
CALIFORNIA,Los Angeles Unified,0622710,77664,72872,73607,74938
CALIFORNIA,Los Banos Unified,0622740,1359,1383,1344,1400
CALIFORNIA,Los Gatos-Saratoga Union High,0622800,377,365,384,326
CALIFORNIA,Los Gatos Union Elementary,0622830,241,222,209,229
CALIFORNIA,Los Molinos Unified,0622860,72,75,68,66
CALIFORNIA,Los Nietos,0622890,255,236,217,208
CALIFORNIA,Los Olivos Elementary,0622920,18,19,22,-8
CALIFORNIA,Lost Hills Union Elementary,0622950,32,31,-8,32
CALIFORNIA,Lowell Joint,0623010,398,345,NA,401
CALIFORNIA,Lucerne Elementary,0623040,40,33,45,42
CALIFORNIA,Lucia Mar Unified,0623080,1449,1364,1418,1384
CALIFORNIA,Luther Burbank,0623130,47,-8,48,-8
CALIFORNIA,Lynwood Unified,0623160,1666,1709,1655,1670
CALIFORNIA,Madera Unified,0623340,1965,1803,1851,1811
