state,district,dist_id,sped_enroll_fy22
ARIZONA,"Akimel O Otham Pee Posh Charter School, Inc. (5978)",0400403,0
ARIZONA,"Akimel O'Otham Pee Posh Charter School, Inc. (78966)",0400404,0
ARIZONA,Alhambra Elementary District (4280),0400600,1133
ARIZONA,All Aboard Charter School (79969),0400396,13
ARIZONA,"Allen-Cochran Enterprises, Inc. (4347)",0400111,42
ARIZONA,Alpine Elementary District (4161),0400630,5
ARIZONA,Altar Valley Elementary District (4418),0404770,97
ARIZONA,American Basic Schools LLC (79215),0400218,0
ARIZONA,American Charter Schools Foundation d.b.a. Alta Vi (80995),0400619,49
ARIZONA,American Charter Schools Foundation d.b.a. Apache  (79883),0400357,30
ARIZONA,American Charter Schools Foundation d.b.a. Crestvi (79874),0400385,18
ARIZONA,American Charter Schools Foundation d.b.a. Desert  (79872),0400384,41
ARIZONA,American Charter Schools Foundation d.b.a. Estrell (79873),0400352,16
ARIZONA,American Charter Schools Foundation d.b.a. Peoria  (79875),0400353,63
ARIZONA,American Charter Schools Foundation d.b.a. South P (80989),0400618,73
ARIZONA,American Charter Schools Foundation d.b.a. South R (88334),0400447,20
ARIZONA,American Charter Schools Foundation d.b.a. Sun Val (79877),0400354,44
ARIZONA,American Charter Schools Foundation d.b.a. West Ph (79879),0400355,41
ARIZONA,American Charter Schools Foundation dba Ridgeview  (1001346),0401005,21
ARIZONA,"American Leadership Academy, Inc. (4348)",0400112,1088
ARIZONA,American Virtual Academy (79461),0400329,698
ARIZONA,Amphitheater Unified District (4406),0400680,2196
ARIZONA,Antelope Union High School District (4506),0400720,33
ARIZONA,Anthem Preparatory Academy (90532),0400819,65
ARIZONA,Apache Junction Unified District (4443),0400790,533
ARIZONA,Aprender Tucson (79426),0400318,24
ARIZONA,ARCHES Academy (92980),0400989,10
ARIZONA,Archway Classical Academy Arete (92312),0400888,39
ARIZONA,Archway Classical Academy Chandler (90917),0400834,40
ARIZONA,Archway Classical Academy Cicero (92314),0400886,37
ARIZONA,Archway Classical Academy Glendale (91878),0400866,42
ARIZONA,Archway Classical Academy Lincoln (92656),0400925,59
ARIZONA,Archway Classical Academy North Phoenix (91758),0400873,64
ARIZONA,Archway Classical Academy Scottsdale (90857),0400841,53
ARIZONA,Archway Classical Academy Trivium East (92704),0400930,59
ARIZONA,Archway Classical Academy Trivium West (90915),0400832,80
ARIZONA,Archway Classical Academy Veritas (90916),0400833,63
ARIZONA,Arete Preparatory Academy (89486),0400757,33
ARIZONA,Arizona Agribusiness & Equine Center INC. (134379),0400969,12
ARIZONA,"Arizona Agribusiness & Equine Center, Inc. (4331)",0400106,24
ARIZONA,"Arizona Agribusiness & Equine Center, Inc. (85816)",0400417,35
ARIZONA,"Arizona Agribusiness & Equine Center, Inc. (90779)",0400828,18
ARIZONA,"Arizona Agribusiness & Equine Center, Inc. (91131)",0400838,30
ARIZONA,"Arizona Autism Charter Schools, Inc. (91958)",0400913,0
ARIZONA,"Arizona Call-a-Teen Youth Resources, Inc. (4346)",0400057,8
ARIZONA,Arizona Community Development Corporation (79947),0400361,249
ARIZONA,"Arizona Connections Academy Charter School, Inc. (87407)",0400427,333
ARIZONA,Arizona Department of Corrections (8336),0400120,47
ARIZONA,Arizona Department of Juvenile Corrections (8326),0409734,38
ARIZONA,Arizona Education Solutions (90758),0400827,109
ARIZONA,Arizona Language Preparatory (92566),0400918,0
ARIZONA,Arizona School For The Arts (4345),0400056,44
ARIZONA,Arizona State Schools for the Deaf and the Blind (6393),0400463,347
ARIZONA,Arlington Elementary District (4274),0400840,0
ARIZONA,Ash Creek Elementary District (4187),0400870,0
ARIZONA,Ash Fork Joint Unified District (4471),0400910,0
ARIZONA,ASU Preparatory Academy - Casa Grande (92987),0400947,4
ARIZONA,ASU Preparatory Academy (346763),0400946,28
ARIZONA,ASU Preparatory Academy (89949),0400764,37
ARIZONA,ASU Preparatory Academy (90273),0400788,17
ARIZONA,ASU Preparatory Academy (91303),0400858,35
ARIZONA,ASU Preparatory Academy (91305),0400859,42
ARIZONA,ASU Preparatory Academy (91307),0400857,49
ARIZONA,ASU Preparatory Academy (92325),0400890,48
ARIZONA,ASU Preparatory Academy (92327),0400884,42
ARIZONA,ASU Preparatory Academy (92716),0400956,5
ARIZONA,ASU Preparatory Academy Digital (522074),0400965,240
ARIZONA,Avondale Elementary District (4272),0400960,743
ARIZONA,"AZ Compass Schools, Inc. (89869)",0400785,29
ARIZONA,Az-Tec High School (4508),0400094,5
ARIZONA,Baboquivari Unified School District #40 (4412),0403950,158
ARIZONA,Bagdad Unified District (4468),0401000,74
ARIZONA,Ball Charter Schools (Dobson) (79204),0400184,73
ARIZONA,Ball Charter Schools (Hearn) (4294),0400100,64
ARIZONA,Ball Charter Schools (Val Vista) (90885),0400867,65
ARIZONA,Balsz Elementary District (4268),0401050,280
ARIZONA,"BASIS Charter Schools, Inc. (273398)",0400963,27
ARIZONA,"BASIS Charter Schools, Inc. (549803)",0400961,39
ARIZONA,"BASIS Charter Schools, Inc. (6361)",0400134,40
ARIZONA,"BASIS Charter Schools, Inc. (783027)",0400980,16
ARIZONA,"BASIS Charter Schools, Inc. (81078)",0400608,10
ARIZONA,"BASIS Charter Schools, Inc. (90508)",0400818,11
ARIZONA,"BASIS Charter Schools, Inc. (90841)",0400829,11
ARIZONA,"BASIS Charter Schools, Inc. (90842)",0400830,13
ARIZONA,"BASIS Charter Schools, Inc. (90862)",0400831,23
ARIZONA,"BASIS Charter Schools, Inc. (91280)",0400843,17
ARIZONA,"BASIS Charter Schools, Inc. (91309)",0400878,15
ARIZONA,"BASIS Charter Schools, Inc. (91339)",0400897,7
ARIZONA,"BASIS Charter Schools, Inc. (91949)",0400898,34
ARIZONA,"BASIS Charter Schools, Inc. (92318)",0400905,44
ARIZONA,"BASIS Charter Schools, Inc. (92320)",0400903,19
ARIZONA,"BASIS Charter Schools, Inc. (92349)",0400881,21
ARIZONA,"BASIS Charter Schools, Inc. (92734)",0400941,0
ARIZONA,"BASIS Charter Schools, Inc. (92736)",0400943,33
ARIZONA,"BASIS Charter Schools, Inc. (92863)",0400937,28
ARIZONA,"BASIS Charter Schools, Inc. (92865)",0400936,14
ARIZONA,"BASIS Charter Schools, Inc. (92997)",0400958,26
ARIZONA,"BASIS Charter Schools, Inc. (934316)",0400967,26
ARIZONA,Beaver Creek Elementary District (4481),0401080,87
ARIZONA,"Bell Canyon Charter School, Inc (79983)",0400374,34
ARIZONA,"Benchmark School, Inc. (10972)",0400181,37
ARIZONA,Benjamin Franklin Charter School - Queen Creek (4355),0400065,294
ARIZONA,Benson Unified School District (79226),0400212,198
ARIZONA,Bicentennial Union High School District (4515),0401160,23
ARIZONA,Bisbee Unified District (4169),0401180,0
ARIZONA,Blue Adobe Project (89871),0400771,13
ARIZONA,Blue Ridge Unified School District No. 32 (4397),0406580,219
ARIZONA,Blueprint Education (81041),0400636,98
ARIZONA,Bonita Elementary District (4224),0401260,11
ARIZONA,Bouse Elementary District (4513),0401290,15
ARIZONA,Bowie Unified District (4171),0401330,14
ARIZONA,"Bright Beginnings School, Inc. (4362)",0400071,23
ARIZONA,Buckeye Elementary District (4269),0401380,844
ARIZONA,Buckeye Union High School District (4284),0401410,731
ARIZONA,Bullhead City School District (4378),0401500,285
ARIZONA,"CAFA, Inc. dba Learning Foundation and Performing  (90327)",0400803,83
ARIZONA,"CAFA, Inc. dba Learning Foundation and Performing  (90328)",0400796,12
ARIZONA,"CAFA, Inc. dba Learning Foundation Performing Arts (79971)",0400397,14
ARIZONA,Calibre Academy (79055),0400310,40
ARIZONA,"Cambridge Academy  East,  Inc (78888)",0400182,50
ARIZONA,"Camelback Education, Inc (79905)",0400390,83
ARIZONA,Camp Verde Unified District (4470),0401600,205
ARIZONA,"Candeo Schools, Inc. (1001161)",0401004,18
ARIZONA,"Candeo Schools, Inc. (89758)",0400758,19
ARIZONA,Canon Elementary District (4484),0401650,28
ARIZONA,"Canyon Rose Academy, Inc. (81029)",0400633,42
ARIZONA,"Carden of Tucson, Inc. (78858)",0400258,7
ARIZONA,"Career Development, Inc. (4400)",0400077,18
ARIZONA,Career Success Schools (79047),0400219,29
ARIZONA,Carpe Diem Collegiate High School (80001),0400381,16
ARIZONA,Cartwright Elementary District (4282),0401680,1404
ARIZONA,CASA Academy (91934),0400915,15
