fy,state,n_districts,sped_enroll,current_sped_exp,state_sped_rev,federal_sped_rev,state_fed_sped_rev,current_sped_exp_adjusted,state_sped_rev_adjusted,federal_sped_rev_adjusted,state_fed_sped_rev_adjusted,n_disproportionate,total_sped_pp_expenditure,state_fed_sped_pp_funding,local_sped_pp_obligation,total_sped_pp_expenditure_adjusted,state_fed_sped_pp_funding_adjusted,local_sped_pp_obligation_adjusted,pct_disproportionate
fy21,New Jersey,505,212666,3768428000,1322417000,344944000,1667361000,4291624866.355945,1506017278.5288284,392834956.08786637,1898852234.6166935,233,17719.936426132997,7840.280063573867,9879.65636255913,20180.117491070247,8928.800253057345,11251.317238012902,0.4613861386138614
fy21,North Dakota,95,13194,200558000,6743000,27072000,33815000,228402851.25432026,7679177.225580042,30830592.592451856,38509769.81803189,93,15200.697286645445,2562.9073821433985,12637.789904502046,17311.11499577992,2918.7335014424657,14392.381494337455,0.9789473684210527
fy21,South Dakota,110,18490,224149000,65508000,32776000,98284000,255269152.59328786,74602927.73146926,37326518.27756361,111929446.00903288,110,12122.714981070849,5315.5219037317465,6807.193077339102,13805.795164591014,6053.512493728116,7752.282670862898,1
fy21,Utah,39,67317,504521000,350790000,107609000,458399000,574567132.2893175,399492596.612965,122549100.1138132,522041696.7267783,3,7494.70416091032,6809.557764012063,685.1463968982571,8535.24566289819,7754.975663306123,780.2699995920675,0.07692307692307693
fy21,Virginia,130,163009,2645300000,528961000,267708000,796669000,3012565255.053667,602400306.1575032,304875749.1777521,907276055.3352551,124,16227.938334693177,4887.270028035262,11340.668306657915,18480.97500784415,5565.80345462677,12915.17155321738,0.9538461538461539
fy21,Washington,244,134889,2358761000,1705247000,221262000,1926509000,2686244068.187216,1941998209.4599857,251981330.45918593,2193979539.919173,148,17486.681641942636,14282.180162948795,3204.5014789938414,19914.47833542554,16265.073800822696,3649.404534602845,0.6065573770491803
fy21,West Virginia,54,42376,433369000,5440000,72269000,77709000,493536609.0868156,6195272.743164081,82302604.021273,88497876.76443711,54,10226.755710779687,1833.7974325089674,8392.95827827072,11646.606784189531,2088.3961856814494,9558.210598508082,1
fy22,Alabama,132,89095,797732000,911000,185336000,186247000,847686245.1413884,968047.1252548537,196941802.42177132,197909849.5470262,132,8953.723553510297,2090.431561816039,6863.291991694258,9514.408722615057,2221.3350866718242,7293.073635943232,1
fy22,Arkansas,233,65022,480880000,316350000,123562000,439912000,510992866.73167276,336159943.00150734,131299493.8427445,467459436.8442516,44,7395.650702839039,6765.587032081449,630.0636707575895,7858.7688279608865,7189.250359020817,669.5184689400694,0.1888412017167382
fy22,California,716,682042,13859304000,2314622000,1482203000,3796825000,14727178260.409552,2459564405.2158513,1575019048.511657,4034583453.727505,698,20320.30871999085,5566.849255617689,14753.459464373162,21592.773260898233,5915.4472213258205,15677.326039572414,0.9748603351955307
fy22,Connecticut,155,77847,2236688000,507289000,133257000,640546000,2376750152.0219855,539055607.1607128,141601597.99131292,680657205.1520257,148,28731.84580009506,8228.268269811297,20503.577530283765,30531.043611468463,8743.525185967675,21787.518425500788,0.9548387096774194
fy22,Georgia,171,208417,2553893000,1542809000,337628000,1880437000,2713818635.4099836,1639420216.5393145,358770378.49126875,1998190595.0305827,31,12253.765287860395,9022.474174371573,3231.291113488822,13021.100176137184,9587.464530391391,3433.6356457457932,0.18128654970760233
fy22,Idaho,91,30702,289014000,4805000,55195000,60000000,307112153.5218509,5105890.710043437,58651329.39455723,63757220.104600675,91,9413.523548954465,1954.2700801250733,7459.253468829392,10003.001547842188,2076.6471273728316,7926.354420469357,1
fy22,Iowa,271,63087,910804000,2807000,31248000,34055000,967838851.6691786,2982775.2805602364,33204760.23047604,36187535.511036254,271,14437.269167974384,539.8101035078543,13897.45906446653,15341.335800865132,573.6131930672921,14767.72260779784,1
