dist_id,state,schlev,agchrt,district,current_sped_exp_fy20_adjusted,state_sped_rev_fy20_adjusted,federal_sped_rev_fy20_adjusted,state_fed_sped_rev_fy20_adjusted,sped_enroll_fy20,current_sped_exp_fy23,state_sped_rev_fy23,federal_sped_rev_fy23,state_fed_sped_rev_fy23,sped_enroll_fy23,state_sped_pp_funding_fy20,federal_sped_pp_funding_fy20,state_fed_sped_pp_funding_fy20,total_sped_pp_expenditure_fy20,state_sped_pp_funding_fy23,federal_sped_pp_funding_fy23,state_fed_sped_pp_funding_fy23,total_sped_pp_expenditure_fy23,local_sped_pp_obligation_fy20,local_sped_pp_obligation_fy23,local_sped_pp_obligation_diff
0100840,Alabama,3,3,Colbert County,4003108.364,0,873786.75,873786.75,456,4084000,0,881000,881000,478,0,1916.1990131578948,1916.1990131578948,8778.746412280701,0,1843.0962343096235,1843.0962343096235,8543.933054393305,6862.547399122806,6700.836820083681,-161.71057903912515
0100870,Alabama,3,3,Conecuh County,1617088.012,0,441553.571,441553.571,181,1602000,0,542000,542000,150,0,2439.522491712707,2439.522491712707,8934.18791160221,0,3613.3333333333335,3613.3333333333335,10680,6494.665419889503,7066.666666666666,572.001246777163
0100900,Alabama,3,3,Coosa County,1053204.296,142135.978,329708.867,471844.845,124,1314000,147000,285000,432000,137,1146.2578870967743,2658.942475806452,3805.2003629032256,8493.583032258066,1072.992700729927,2080.29197080292,3153.284671532847,9591.240875912408,4688.38266935484,6437.956204379561,1749.5735350247214
0100930,Alabama,3,3,Covington County,3113010.928,0,898252.779,898252.779,462,3206000,0,802000,802000,430,0,1944.2700844155843,1944.2700844155843,6738.118891774891,0,1865.1162790697674,1865.1162790697674,7455.813953488372,4793.848807359307,5590.697674418605,796.8488670592978
0101020,Alabama,3,3,Cullman County,11085441.235,0,2402331.038,2402331.038,1501,11067000,0,2222000,2222000,1534,0,1600.4870339773486,1600.4870339773486,7385.370576282478,0,1448.5006518904825,1448.5006518904825,7214.4719687092565,5784.88354230513,5765.971316818774,-18.912225486355965
0101050,Alabama,3,3,Dale County,2338253.343,0,867961.505,867961.505,273,2517000,0,803000,803000,336,0,3179.346172161172,3179.346172161172,8565.03056043956,0,2389.8809523809523,2389.8809523809523,7491.071428571428,5385.684388278388,5101.190476190476,-284.49391208791167
0101080,Alabama,3,3,Daleville City,1371262.673,0,365825.386,365825.386,139,1402000,0,356000,356000,155,0,2631.837309352518,2631.837309352518,9865.199086330935,0,2296.7741935483873,2296.7741935483873,9045.161290322581,7233.361776978417,6748.387096774194,-484.97468020422275
0101110,Alabama,3,3,Dallas County,4055535.569,0,1159223.755,1159223.755,446,3144000,0,798000,798000,349,0,2599.156401345291,2599.156401345291,9093.129078475336,0,2286.532951289398,2286.532951289398,9008.595988538682,6493.972677130045,6722.063037249283,228.09036011923854
0101140,Alabama,3,3,DeKalb County,7875731.24,0,2471068.929,2471068.929,1053,8141000,0,1937000,1937000,989,0,2346.69413960114,2346.69413960114,7479.3269135802475,0,1958.5439838220425,1958.5439838220425,8231.54701718908,5132.632773979108,6273.003033367037,1140.3702593879289
0101170,Alabama,3,3,Decatur City,13617092.712,0,2447767.949,2447767.949,1212,13667000,0,2178000,2178000,1183,0,2019.6105189768978,2019.6105189768978,11235.225009900989,0,1841.0819949281488,1841.0819949281488,11552.831783601014,9215.61449092409,9711.749788672865,496.135297748775
0101200,Alabama,3,3,Demopolis City,1966602.712,0,485825.433,485825.433,146,2096000,0,486000,486000,141,0,3327.57145890411,3327.57145890411,13469.881589041097,0,3446.808510638298,3446.808510638298,14865.248226950354,10142.310130136986,11418.439716312056,1276.1295861750696
0101230,Alabama,3,3,Dothan City,10783693.544,0,2648156.377,2648156.377,1324,10789000,0,2777000,2777000,1309,0,2000.1181095166162,2000.1181095166162,8144.783643504532,0,2121.466768525592,2121.466768525592,8242.169595110772,6144.665533987916,6120.70282658518,-23.96270740273576
0101290,Alabama,3,3,Elmore County,15445054.593,0,2684272.896,2684272.896,1540,14935000,0,2947000,2947000,1538,0,1743.0343480519482,1743.0343480519482,10029.256229220779,0,1916.1248374512354,1916.1248374512354,9710.663198959688,8286.22188116883,7794.538361508453,-491.6835196603779
0101320,Alabama,3,3,Enterprise City,5827575.098,0,1862913.351,1862913.351,589,5416000,0,1326000,1326000,581,0,3162.8410033955856,3162.8410033955856,9894.015446519525,0,2282.2719449225474,2282.2719449225474,9321.85886402754,6731.1744431239385,7039.5869191049915,308.4124759810529
0101350,Alabama,3,3,Escambia County,4170875.42,0,1289709.243,1289709.243,543,3944000,0,1075000,1075000,530,0,2375.1551436464088,2375.1551436464088,7681.170202578269,0,2028.301886792453,2028.301886792453,7441.509433962264,5306.01505893186,5413.207547169811,107.19248823795078
0101380,Alabama,3,3,Etowah County,8408158.633,0,2402331.038,2402331.038,1059,8630000,0,2262000,2262000,1230,0,2268.4901208687443,2268.4901208687443,7939.715423040604,0,1839.0243902439024,1839.0243902439024,7016.260162601626,5671.22530217186,5177.235772357723,-493.9895298141364
0101410,Alabama,3,3,Eufaula City,2751845.738,0,1246602.43,1246602.43,795,2679000,0,1390000,1390000,860,0,1568.0533710691823,1568.0533710691823,3461.4411798742135,0,1616.2790697674418,1616.2790697674418,3115.1162790697676,1893.3878088050312,1498.8372093023258,-394.5505995027054
0101470,Alabama,3,3,Fayette County,2729709.807,0,662912.881,662912.881,278,2357000,0,585000,585000,298,0,2384.578708633094,2384.578708633094,9819.100025179856,0,1963.0872483221476,1963.0872483221476,7909.395973154363,7434.521316546762,5946.308724832215,-1488.2125917145468
0101530,Alabama,3,3,Florence City,5450099.222,0,1145243.167,1145243.167,588,5753000,0,1152000,1152000,612,0,1947.6924608843535,1947.6924608843535,9268.876227891156,0,1882.3529411764705,1882.3529411764705,9400.32679738562,7321.183767006803,7517.97385620915,196.7900892023472
0101560,Alabama,3,3,Fort Payne City,2522331.085,114174.802,898252.779,1012427.581,225,2786000,0,828000,828000,277,507.4435644444444,3992.234573333333,4499.678137777778,11210.360377777777,0,2989.169675090253,2989.169675090253,10057.761732851986,6710.682239999999,7068.5920577617335,357.9098177617343
0101590,Alabama,3,3,Franklin County,4603108.599,0,880777.044,880777.044,543,5067000,0,814000,814000,537,0,1622.0571712707183,1622.0571712707183,8477.179740331492,0,1515.828677839851,1515.828677839851,9435.754189944135,6855.1225690607735,7919.925512104284,1064.8029430435108
